["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8878761065431166e+14 6.1377933337521742e-03 4.3800855535928749e+00
1.8879951178339534e+14 6.0818222642692694e-03 4.4269591443413807e+00
1.8881141441306266e+14 6.0255678156852155e-03 4.4740008123843031e+00
1.8882331854359750e+14 5.9690462064705451e-03 4.5212170557115519e+00
1.8883522417528375e+14 5.9122749737625276e-03 4.5686145026162954e+00
1.8884713130840531e+14 5.8552729881145744e-03 4.6161999074916071e+00
1.8885903994324631e+14 5.7980604669728847e-03 4.6639801457234222e+00
1.8887095008009081e+14 5.7406589867173190e-03 4.7119622075642837e+00
1.8888286171922303e+14 5.6830914930835067e-03 4.7601531908700947e+00
1.8889477486092716e+14 5.6253823097522472e-03 4.8085602925644304e+00
1.8890668950548756e+14 5.5675571448726355e-03 4.8571907986922582e+00
1.8891860565318869e+14 5.5096430952615866e-03 4.9060520729063759e+00
1.8893052330431491e+14 5.4516686479858115e-03 4.9551515432276005e+00
1.8894244245915084e+14 5.3936636790012137e-03 5.0044966869073786e+00
1.8895436311798109e+14 5.3356594485019938e-03 5.0540950132079248e+00
1.8896628528109028e+14 5.2776885925822784e-03 5.1039540439149933e+00
1.8897820894876325e+14 5.2197851107896216e-03 5.1540812913851619e+00
1.8899013412128478e+14 5.1619843491059600e-03 5.2044842339257311e+00
1.8900206079893981e+14 5.1043229778536155e-03 5.2551702883053633e+00
1.8901398898201328e+14 5.0468389639895138e-03 5.3061467791896870e+00
1.8902591867079022e+14 4.9895715372099735e-03 5.3574209053034112e+00
1.8903784986555578e+14 4.9325611492547564e-03 5.4089997021254783e+00
1.8904978256659512e+14 4.8758494257645415e-03 5.4608900009384378e+00
1.8906171677419356e+14 4.8194791100174281e-03 5.5130983840741337e+00
1.8907365248863638e+14 4.7634939978433615e-03 5.5656311362203645e+00
1.8908558971020897e+14 4.7079388630050980e-03 5.6184941916925588e+00
1.8909752843919688e+14 4.6528593723172366e-03 5.6716930776135968e+00
1.8910946867588559e+14 4.5983019897879798e-03 5.7252328530004482e+00
1.8912141042056075e+14 4.5443138690783955e-03 5.7791180438230318e+00
1.8913335367350806e+14 4.4909427175363640e-03 5.8333525718718491e+00
1.8914529843501325e+14 4.4382366832599641e-03 5.8879396851609025e+00
1.8915724470536222e+14 4.3862442445014357e-03 5.9428818871521045e+00
1.8916919248484084e+14 4.3350139824106576e-03 5.9981808484433454e+00
1.8918114177373509e+14 4.2845944338497166e-03 6.0538373296469743e+00
1.8919309257233103e+14 4.2350339024467502e-03 6.1098510986953416e+00
1.8920504488091478e+14 4.1863802552906931e-03 6.1662208473451852e+00
1.8921699869977256e+14 4.1386807055335062e-03 6.2229441078638486e+00
1.8922895402919066e+14 4.0919815814211965e-03 6.2800171710212798e+00
1.8924091086945534e+14 4.0463280825739165e-03 6.3374350066583371e+00
1.8925286922085309e+14 4.0017640246465640e-03 6.3951911882304024e+00
1.8926482908367038e+14 3.9583315738646171e-03 6.4532778228398024e+00
1.8927679045819378e+14 3.9160709732870540e-03 6.5116854883666049e+00
1.8928875334470991e+14 3.8750202630426188e-03 6.5704031793635371e+00
1.8930071774350547e+14 3.8352149971689446e-03 6.6294182634083061e+00
1.8931268365486728e+14 3.7966879600694193e-03 6.6887164495801130e+00
1.8932465107908212e+14 3.7594688859627239e-03 6.7482817706534384e+00
1.8933662001643697e+14 3.7235841850226290e-03 6.8080965804742988e+00
1.8934859046721884e+14 3.6890566801928634e-03 6.8681415677856910e+00
1.8936056243171472e+14 3.6559053588616514e-03 6.9283957875237849e+00
1.8937253591021184e+14 3.6241451437147754e-03 6.9888367102960922e+00
1.8938451090299738e+14 3.5937866871290835e-03 7.0494402903835738e+00
1.8939648741035856e+14 3.5648361933844075e-03 7.1101810522147000e+00
1.8940846543258288e+14 3.5372952728084991e-03 7.1710321948141793e+00
1.8942044496995762e+14 3.5111608316566257e-03 7.2319657132756507e+00
1.8943242602277041e+14 3.4864250011194258e-03 7.2929525358669220e+00
1.8944440859130875e+14 3.4630751083296160e-03 7.3539626749266898e+00
1.8945639267586031e+14 3.4410936916144889e-03 7.4149653893379650e+00
1.8946837827671288e+14 3.4204585615376288e-03 7.4759293560135651e+00
1.8948036539415412e+14 3.4011429085084189e-03 7.5368228475744665e+00
1.8949235402847200e+14 3.3831154569329406e-03 7.5976139132285292e+00
1.8950434417995447e+14 3.3663406650665233e-03 7.6582705597703047e+00
1.8951633584888947e+14 3.3507789689243167e-03 7.7187609296521256e+00
1.8952832903556512e+14 3.3363870678525744e-03 7.7790534731963836e+00
1.8954032374026959e+14 3.3231182486563996e-03 7.8391171122268268e+00
1.8955231996329116e+14 3.3109227445838737e-03 7.8989213927056205e+00
1.8956431770491806e+14 3.2997481249442857e-03 7.9584366243216449e+00
1.8957631696543866e+14 3.2895397107481979e-03 8.0176340054039912e+00
1.8958831774514150e+14 3.2802410114784303e-03 8.0764857319829275e+00
1.8960032004431500e+14 3.2717941779325673e-03 8.1349650902902280e+00
1.8961232386324788e+14 3.2641404660430934e-03 8.1930465324634074e+00
1.8962432920222872e+14 3.2572207066246962e-03 8.2507057356493654e+00
1.8963633606154625e+14 3.2509757761578859e-03 8.3079196451251924e+00
1.8964834444148938e+14 3.2453470639423132e-03 8.3646665024067026e+00
1.8966035434234694e+14 3.2402769312356600e-03 8.4209258596224750e+00
1.8967236576440784e+14 3.2357091583362046e-03 8.4766785816830712e+00
1.8968437870796125e+14 3.2315893759146956e-03 8.5319068379525369e+00
1.8969639317329619e+14 3.2278654772849931e-03 8.5865940852503879e+00
1.8970840916070184e+14 3.2244880086662589e-03 8.6407250440848653e+00
1.8972042667046750e+14 3.2214105348516448e-03 8.6942856700166047e+00
1.8973244570288250e+14 3.2185899780395820e-03 8.7472631220218027e+00
1.8974446625823619e+14 3.2159869278954511e-03 8.7996457296406714e+00
1.8975648833681809e+14 3.2135659211868228e-03 8.8514229605862553e+00
1.8976851193891775e+14 3.2112956895931108e-03 8.9025853903419119e+00
1.8978053706482481e+14 3.2091493744991597e-03 8.9531246751179214e+00
1.8979256371482891e+14 3.2071047077739615e-03 9.0030335293502119e+00
1.8980459188921988e+14 3.2051441576922213e-03 9.0523057087374799e+00
1.8981662158828750e+14 3.2032550392958404e-03 9.1009359996029300e+00
1.8982865281232175e+14 3.2014295886098961e-03 9.1489202151672764e+00
1.8984068556161259e+14 3.1996650002519018e-03 9.1962551990977843e+00
1.8985271983645009e+14 3.1979634280592645e-03 9.2429388364904668e+00
1.8986475563712441e+14 3.1963319484911218e-03 9.2889700722215238e+00
1.8987679296392569e+14 3.1947824866763860e-03 9.3343489363858332e+00
1.8988883181714431e+14 3.1933317050998069e-03 9.3790765763286679e+00
1.8990087219707059e+14 3.1920008551097829e-03 9.4231552945516874e+00
1.8991291410399494e+14 3.1908155915849660e-03 9.4665885915729149e+00
1.8992495753820788e+14 3.1898057513388514e-03 9.5093812126055965e+00
1.8993700250000003e+14 3.1890050960866599e-03 9.5515391967267362e+00
1.8994904898966197e+14 3.1884510210933945e-03 9.5930699270213093e+00
1.8996109700748447e+14 3.1881842309523178e-03 9.6339821800242174e+00
